Product Name,Product ID,Listing Price,Sale Price,Discount,Brand,Rating,Reviews
Men'S Adidas Running Legus Shoes,CJ8058,5999.0,2999.0,0.5,Adidas Core / Neo,2.7,87
Men'S Adidas Originals Campus Low Shoes,BZ0086,7999.0,3999.0,0.5,Adidas Originals,2.0,28
Men'S Adidas Running Helkin 3.0 Shoes,CJ8117,4599.0,2299.0,0.5,Adidas Core / Neo,4.0,87
Men'S Adidas Running Legus 1.0 Shoes,CJ8073,5599.0,2799.0,0.5,Adidas Core / Neo,2.5,66
Men'S Adidas Running Kollide Shoes,CL7551,4799.0,2399.0,0.5,Adidas Core / Neo,5.0,54
Men'S Adidas Running Edge Pr Shoes,AC8122,7999.0,3999.0,0.5,Adidas Sport Performance,4.2,66
Men'S Adidas Originals Futurepacer Shoes,CM8453,19999.0,9999.0,0.5,Adidas Originals,3.5,1
Men'S Adidas Originals Micropacer X R1 Shoes,EE3625,15999.0,7999.0,0.5,Adidas Originals,0.0,94
Men'S Adidas Outdoor Andorian Shoes,CM0031,4599.0,2299.0,0.5,Adidas Sport Performance,0.0,49
Men'S Adidas Sport Inspired Advantage Base Shoes,EE7697,4999.0,2499.0,0.5,Adidas Core / Neo,3.5,6
Men'S Adidas Running Galaxy 4 Shoes,F36159,5299.0,2649.0,0.5,Adidas Core / Neo,2.4,99
Men'S Adidas Essentials Eezay Flip-Flops,F35028,1999.0,999.0,0.5,Adidas Core / Neo,0.0,67
Men'S Adidas Originals Pw Hu Holi Stan Smith Shoes,AC7042,9999.0,4999.0,0.5,Adidas Originals,3.1,49
Men'S Adidas Running Zeta 1.0 Shoes,CJ8053,5999.0,2999.0,0.5,Adidas Core / Neo,4.4,42
Men'S Adidas Running Purebounce+ Clima Shoes,BC0836,8999.0,4499.0,0.5,Adidas Sport Performance,3.4,90
Men'S Adidas Running Duramo 9 Shoes,F35275,6599.0,3299.0,0.5,Adidas Core / Neo,3.8,88
Men'S Adidas Running Helkin 3.0 Shoes,CJ8115,4599.0,2299.0,0.5,Adidas Core / Neo,3.0,44
Men'S Adidas Running Arius 1.0 Shoes,CJ8089,4999.0,2499.0,0.5,Adidas Core / Neo,3.5,74
Men'S Adidas Originals Skateboarding Seeley Shoes,EE6128,5999.0,3599.0,0.4,Adidas Originals,4.3,19
